proteinid,method,start,end,length,rna_class,position,signature,uniprot_accession,measurement_protein_id,frac_A,frac_C,frac_D,frac_E,frac_F,frac_G,frac_H,frac_I,frac_K,frac_L,frac_M,frac_N,frac_P,frac_Q,frac_R,frac_S,frac_T,frac_V,frac_W,frac_Y,frac_polar,frac_hydrophobic,frac_strong_hydro,frac_aromatic,frac_disorder,frac_positive,frac_negative,fcr,ncpr,frac_GS,uniprot_length,coverage_per_lcr
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,SEG,39,55,17,mRNA,domain_adjacent,disorder_rich_spacer_region,Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',SEG,13,30,18,mRNA,domain_adjacent,disorder_rich_spacer_region,Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,SEG,571,592,22,pre-rRNA,unclassified_no_pfam,polar_linker,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,SEG,893,909,17,mRNA,distal_terminal,acidic_region,Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H501|ensembl_protein_id=ENSP00000202816|entry=ESF1_HUMAN|source=pfam27|protein_name=ESF1,SEG,267,297,31,pre-rRNA,distal_terminal,acidic_region,Q9H501|ensembl_protein_id=ENSP00000202816|entry=ESF1_HUMAN|source=pfam27|protein_name=ESF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N8D1|ensembl_protein_id=ENSP00000204549|entry=PDCD7_HUMAN|source=pfam27|protein_name=Programmed,SEG,235,251,17,snRNA,unclassified_no_pfam,arginine_rich_rna_contact_region,Q8N8D1|ensembl_protein_id=ENSP00000204549|entry=PDCD7_HUMAN|source=pfam27|protein_name=Programmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15371|ensembl_protein_id=ENSP00000216190|entry=EIF3D_HUMAN|source=pfam27|protein_name=Eukaryotic,SEG,529,546,18,mRNA,domain_adjacent,acidic_region,O15371|ensembl_protein_id=ENSP00000216190|entry=EIF3D_HUMAN|source=pfam27|protein_name=Eukaryotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q86U42|ensembl_protein_id=ENSP00000216727|entry=PABP2_HUMAN|source=pfam27|protein_name=Polyadenylate-binding,SEG,1,15,15,mRNA,distal_terminal,disorder_rich_spacer_region,Q86U42|ensembl_protein_id=ENSP00000216727|entry=PABP2_HUMAN|source=pfam27|protein_name=Polyadenylate-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q86U42|ensembl_protein_id=ENSP00000216727|entry=PABP2_HUMAN|source=pfam27|protein_name=Polyadenylate-binding,SEG,49,80,32,mRNA,distal_terminal,acidic_region,Q86U42|ensembl_protein_id=ENSP00000216727|entry=PABP2_HUMAN|source=pfam27|protein_name=Polyadenylate-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H307|ensembl_protein_id=ENSP00000216832|entry=PININ_HUMAN|source=pfam27|protein_name=Pinin,SEG,569,637,69,mRNA,unclassified_no_pfam,sr_rs_repeat_region,Q9H307|ensembl_protein_id=ENSP00000216832|entry=PININ_HUMAN|source=pfam27|protein_name=Pinin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
