uniprot_accession,uniprot_length,rnaprimaryclass,method,cluster_pam_k2,cluster_hierarchical_k2,cluster_pam_k3,cluster_hierarchical_k3,cluster_pam_k4,cluster_hierarchical_k4,cluster_pam_k5,cluster_hierarchical_k5,cluster_pam_k6,cluster_hierarchical_k6,cluster_hdbscan,hdbscan_confidence
Q9Y2T7,364.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q9H6S0,1430.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q8N1G1,1221.0,pre-rRNA,SEG,0,2,0,2,2,2,0,3,5,3,1,1.0
Q9BRR8,931.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.7649264067221174
Q9H501,851.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6871889124363582
Q8N8D1,485.0,snRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.6843515253776965
O15371,548.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.9445759624084331
Q86U42,306.0,mRNA,SEG,0,2,0,3,3,3,0,4,0,5,0,0.5821860436132991
Q9H307,717.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.6235692570807384
P14866,589.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,0.9067307559459482
Q15428,464.0,snRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q9NW13,759.0,snRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6705723442994618
Q7Z417,695.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.5155258482339462
Q9NY12,217.0,snoRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,0.550746911706729
Q5XG87,792.0,diverse,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q4ZG55,1949.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q13247,344.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,1.0
Q8WVK2,155.0,snRNA,SEG,1,2,2,2,0,2,4,2,4,2,-1,0.0
P09234,159.0,snRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.6753282901281573
Q9BQ67,446.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,1.0
Q96EY7,689.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.49819419711618496
Q9NQZ2,479.0,snoRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,1.0
O95218,330.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,0.8837079104336745
Q8NAV1,312.0,snRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,1.0
Q96K80,434.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q07955,248.0,mRNA,SEG,0,2,2,2,2,2,2,2,2,2,1,0.8764779250713647
O60563,726.0,ncRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,0.5640977568196761
O15105,426.0,ncRNA,SEG,1,2,1,3,2,3,2,4,5,5,0,0.7478026853838987
Q8TDI0,1954.0,unknown,SEG,0,2,0,2,3,2,0,2,0,2,1,0.855187825371657
Q6ZRS2,3230.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,1,0.5999987843725485
O15047,1707.0,ncRNA,SEG,0,2,0,3,3,3,0,4,0,5,0,0.3979943275234428
Q8IXZ2,948.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q9UKV3,1341.0,mRNA,SEG,1,2,1,3,0,3,4,4,4,5,0,0.58066837701409
Q92900,1129.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q9UPR6,939.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q9UNW9,492.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,0.9485360086487217
O60583,730.0,ncRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q15032,1099.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q9Y2X3,529.0,snoRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6501066666115803
O15234,703.0,mRNA,SEG,0,2,0,2,3,2,0,3,5,3,1,1.0
Q96KR1,1074.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q9P2N5,1060.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,0,0.5224012993897168
P51531,1590.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6392491612156395
