uniprot_accession,rna_class,uniprot_length,signature_for_fraction,signature_residues,property_fraction,method
A0A024RCN4,unknown,479.0,acidic_region,7,0.014613778705636743,LCRFinder
A0A024RCN4,unknown,479.0,hydrophobic_region,4,0.008350730688935281,LCRFinder
A0A087WVF4,unknown,1798.0,acidic_region,68,0.03781979977753059,LCRFinder
A0A087WVF4,unknown,1798.0,arginine_rich_rna_contact_region,7,0.00389321468298109,LCRFinder
A0A087WVF4,unknown,1798.0,aromatic_sticker_region,5,0.0027808676307007787,LCRFinder
A0A087WVF4,unknown,1798.0,basic_enriched_region,18,0.010011123470522803,LCRFinder
A0A087WVF4,unknown,1798.0,disorder_rich_spacer_region,11,0.006117908787541713,LCRFinder
A0A087WVF4,unknown,1798.0,gs_rich_neutral_region,29,0.016129032258064516,LCRFinder
A0A087WVF4,unknown,1798.0,other,6,0.0033370411568409346,LCRFinder
A0A087WZ13,unknown,739.0,disorder_rich_spacer_region,15,0.02029769959404601,LCRFinder
A0A087WZ13,unknown,739.0,gs_rich_neutral_region,23,0.03112313937753721,LCRFinder
A0A087WZ13,unknown,739.0,hydrophobic_region,31,0.04194857916102842,LCRFinder
A0A087X0J2,diverse,248.0,hydrophobic_region,7,0.028225806451612902,LCRFinder
A0A0A0MQW0,mRNA,576.0,aromatic_sticker_region,5,0.008680555555555556,LCRFinder
A0A0A0MQW0,mRNA,576.0,disorder_rich_spacer_region,4,0.006944444444444444,LCRFinder
A0A0A0MQW0,mRNA,576.0,hydrophobic_region,11,0.019097222222222224,LCRFinder
A0A0A0MRM9,snoRNA,708.0,acidic_region,112,0.15819209039548024,LCRFinder
A0A0A0MRM9,snoRNA,708.0,basic_enriched_region,22,0.031073446327683617,LCRFinder
A0A0A0MRM9,snoRNA,708.0,disorder_rich_spacer_region,87,0.1228813559322034,LCRFinder
A0A0A0MRZ1,unknown,733.0,arginine_rich_rna_contact_region,16,0.021828103683492497,LCRFinder
A0A0A0MRZ1,unknown,733.0,aromatic_sticker_region,6,0.008185538881309686,LCRFinder
A0A0A0MRZ1,unknown,733.0,disorder_rich_spacer_region,22,0.030013642564802184,LCRFinder
A0A0A0MRZ1,unknown,733.0,gs_rich_neutral_region,18,0.02455661664392906,LCRFinder
A0A0A0MRZ1,unknown,733.0,other,6,0.008185538881309686,LCRFinder
A0A0A0MSN9,mRNA,333.0,acidic_region,4,0.012012012012012012,LCRFinder
A0A0A0MSN9,mRNA,333.0,arginine_rich_rna_contact_region,8,0.024024024024024024,LCRFinder
A0A0A0MSN9,mRNA,333.0,basic_enriched_region,12,0.036036036036036036,LCRFinder
A0A0A0MSN9,mRNA,333.0,other,47,0.14114114114114115,LCRFinder
A0A0A0MSS9,mRNA,486.0,disorder_rich_spacer_region,5,0.0102880658436214,LCRFinder
A0A0B4J1V9,unknown,884.0,acidic_region,4,0.004524886877828055,LCRFinder
A0A0B4J1V9,unknown,884.0,basic_enriched_region,11,0.012443438914027148,LCRFinder
A0A0B4J1V9,unknown,884.0,hydrophobic_region,6,0.006787330316742082,LCRFinder
A0A0B4J203,mRNA,849.0,acidic_region,17,0.020023557126030624,LCRFinder
A0A0B4J203,mRNA,849.0,disorder_rich_spacer_region,4,0.004711425206124852,LCRFinder
A0A0B4J203,mRNA,849.0,hydrophobic_region,5,0.005889281507656066,LCRFinder
A0A0C4DG89,snRNA,1032.0,acidic_region,27,0.02616279069767442,LCRFinder
A0A0C4DG89,snRNA,1032.0,arginine_rich_rna_contact_region,16,0.015503875968992248,LCRFinder
A0A0C4DG89,snRNA,1032.0,basic_enriched_region,15,0.014534883720930232,LCRFinder
A0A0C4DG89,snRNA,1032.0,disorder_rich_spacer_region,4,0.003875968992248062,LCRFinder
A0A0C4DG89,snRNA,1032.0,hydrophobic_region,12,0.011627906976744186,LCRFinder
A0A0C4DG89,snRNA,1032.0,sr_rs_repeat_region,57,0.055232558139534885,LCRFinder
A0A0C4DGG8,mRNA,1043.0,acidic_region,53,0.05081495685522531,LCRFinder
A0A0C4DGG8,mRNA,1043.0,arginine_rich_rna_contact_region,27,0.02588686481303931,LCRFinder
A0A0C4DGG8,mRNA,1043.0,basic_enriched_region,9,0.00862895493767977,LCRFinder
A0A0C4DGG8,mRNA,1043.0,disorder_rich_spacer_region,46,0.04410354745925216,LCRFinder
A0A0C4DGG8,mRNA,1043.0,other,33,0.031639501438159155,LCRFinder
A0A0D9SF53,unknown,733.0,gs_rich_neutral_region,43,0.058663028649386086,LCRFinder
A0A0D9SFM0,unknown,1687.0,acidic_region,11,0.006520450503852994,LCRFinder
A0A0D9SFM0,unknown,1687.0,arginine_rich_rna_contact_region,5,0.002963841138114997,LCRFinder
A0A0D9SFM0,unknown,1687.0,disorder_rich_spacer_region,5,0.002963841138114997,LCRFinder
A0A0G2JKY3,tRNA,1061.0,hydrophobic_region,4,0.003770028275212064,LCRFinder
A0A0G2JKY3,tRNA,1061.0,other,4,0.003770028275212064,LCRFinder
A0A140T8Y2,pre-rRNA,407.0,acidic_region,20,0.04914004914004914,LCRFinder
A0A140TA76,mRNA,344.0,arginine_rich_rna_contact_region,4,0.011627906976744186,LCRFinder
A0A140TA76,mRNA,344.0,basic_enriched_region,4,0.011627906976744186,LCRFinder
A0A140TA76,mRNA,344.0,gs_rich_neutral_region,9,0.02616279069767442,LCRFinder
A0A140TA76,mRNA,344.0,other,13,0.0377906976744186,LCRFinder
A0A286YFD1,unknown,2093.0,arginine_rich_rna_contact_region,12,0.005733397037744864,LCRFinder
A0A286YFD1,unknown,2093.0,hydrophobic_region,10,0.004777830864787387,LCRFinder
A0A286YFD1,unknown,2093.0,other,4,0.0019111323459149545,LCRFinder
A0A2R8Y4L2,mRNA,320.0,aromatic_sticker_region,14,0.04375,LCRFinder
A0A2R8Y4L2,mRNA,320.0,disorder_rich_spacer_region,8,0.025,LCRFinder
A0A2R8Y4L2,mRNA,320.0,gs_rich_neutral_region,27,0.084375,LCRFinder
A0A2R8Y6W8,unknown,807.0,acidic_region,6,0.007434944237918215,LCRFinder
A0A494C0I1,unknown,1111.0,basic_enriched_region,9,0.008100810081008101,LCRFinder
A0A494C1N8,unknown,1116.0,basic_enriched_region,9,0.008064516129032258,LCRFinder
A0A499FI31,snRNA,981.0,acidic_region,9,0.009174311926605505,LCRFinder
A0A499FI31,snRNA,981.0,arginine_rich_rna_contact_region,14,0.014271151885830785,LCRFinder
A0A499FI31,snRNA,981.0,disorder_rich_spacer_region,5,0.0050968399592252805,LCRFinder
A0A499FIA3,unknown,238.0,disorder_rich_spacer_region,4,0.01680672268907563,LCRFinder
A0A590UJW6,unknown,1086.0,acidic_region,4,0.003683241252302026,LCRFinder
A0A590UJW6,unknown,1086.0,aromatic_sticker_region,11,0.010128913443830571,LCRFinder
A0A590UJW6,unknown,1086.0,disorder_rich_spacer_region,9,0.008287292817679558,LCRFinder
A0A590UJW6,unknown,1086.0,gs_rich_neutral_region,35,0.03222836095764273,LCRFinder
A0A590UJW6,unknown,1086.0,other,18,0.016574585635359115,LCRFinder
A0A5H1ZRQ2,mRNA,731.0,arginine_rich_rna_contact_region,4,0.005471956224350205,LCRFinder
A0A5H1ZRQ2,mRNA,731.0,disorder_rich_spacer_region,55,0.07523939808481532,LCRFinder
A0A5K1VW79,mRNA,999.0,aromatic_sticker_region,23,0.023023023023023025,LCRFinder
A0A5K1VW79,mRNA,999.0,disorder_rich_spacer_region,120,0.12012012012012012,LCRFinder
A0A5K1VW79,mRNA,999.0,gs_rich_neutral_region,18,0.018018018018018018,LCRFinder
A0A7I2V5M7,unknown,476.0,acidic_region,29,0.06092436974789916,LCRFinder
A0A7I2V5M7,unknown,476.0,arginine_rich_rna_contact_region,7,0.014705882352941176,LCRFinder
A0A7I2V5M7,unknown,476.0,disorder_rich_spacer_region,10,0.02100840336134454,LCRFinder
A0A7N4I394,snRNA,994.0,acidic_region,31,0.03118712273641851,LCRFinder
A0A7N4I394,snRNA,994.0,arginine_rich_rna_contact_region,14,0.014084507042253521,LCRFinder
A0A7N4I394,snRNA,994.0,basic_enriched_region,5,0.005030181086519115,LCRFinder
A0A7N4I394,snRNA,994.0,disorder_rich_spacer_region,36,0.03621730382293763,LCRFinder
A0A7N4I394,snRNA,994.0,hydrophobic_region,5,0.005030181086519115,LCRFinder
A0A7N4I394,snRNA,994.0,sr_rs_repeat_region,19,0.019114688128772636,LCRFinder
A0A7P0N5L0,unknown,480.0,acidic_region,11,0.022916666666666665,LCRFinder
A0A7P0N5L0,unknown,480.0,disorder_rich_spacer_region,5,0.010416666666666666,LCRFinder
A0A804HKV4,mRNA,723.0,disorder_rich_spacer_region,10,0.013831258644536652,LCRFinder
A0A8I5KNN2,pre-rRNA,808.0,acidic_region,15,0.018564356435643563,LCRFinder
A0A8I5KNN2,pre-rRNA,808.0,basic_enriched_region,19,0.023514851485148515,LCRFinder
A0A8I5KNN2,pre-rRNA,808.0,disorder_rich_spacer_region,6,0.007425742574257425,LCRFinder
A0A8I5KSH6,unknown,925.0,acidic_region,46,0.04972972972972973,LCRFinder
A0A8I5KSH6,unknown,925.0,arginine_rich_rna_contact_region,6,0.006486486486486486,LCRFinder
A0A8I5KSH6,unknown,925.0,basic_enriched_region,5,0.005405405405405406,LCRFinder
A0A8I5KSH6,unknown,925.0,hydrophobic_region,9,0.00972972972972973,LCRFinder
A0A8I5KVU2,mRNA,1735.0,acidic_region,8,0.004610951008645533,LCRFinder
A0A8I5KVU2,mRNA,1735.0,arginine_rich_rna_contact_region,4,0.0023054755043227667,LCRFinder
A0A8I5KVU2,mRNA,1735.0,aromatic_sticker_region,5,0.002881844380403458,LCRFinder
A0A8I5KVU2,mRNA,1735.0,basic_enriched_region,4,0.0023054755043227667,LCRFinder
A0A8I5KVU2,mRNA,1735.0,disorder_rich_spacer_region,18,0.01037463976945245,LCRFinder
A0A8I5KVU2,mRNA,1735.0,hydrophobic_region,4,0.0023054755043227667,LCRFinder
A0A8I5KVU2,mRNA,1735.0,other,8,0.004610951008645533,LCRFinder
A0A8I5KX04,mRNA,1686.0,acidic_region,23,0.013641755634638196,LCRFinder
A0A8I5KX04,mRNA,1686.0,arginine_rich_rna_contact_region,10,0.005931198102016607,LCRFinder
A0A8I5KX04,mRNA,1686.0,basic_enriched_region,20,0.011862396204033215,LCRFinder
A0A8I5KX04,mRNA,1686.0,disorder_rich_spacer_region,24,0.014234875444839857,LCRFinder
A0A8I5KX04,mRNA,1686.0,hydrophobic_region,4,0.002372479240806643,LCRFinder
A0A8I5KX04,mRNA,1686.0,other,4,0.002372479240806643,LCRFinder
A0A8I5KX04,mRNA,1686.0,sr_rs_repeat_region,6,0.0035587188612099642,LCRFinder
A0A8V8TR54,unknown,2114.0,acidic_region,59,0.027909176915799434,LCRFinder
A0A8V8TR54,unknown,2114.0,arginine_rich_rna_contact_region,56,0.026490066225165563,LCRFinder
A0A8V8TR54,unknown,2114.0,basic_enriched_region,9,0.004257332071901609,LCRFinder
A0A8V8TR54,unknown,2114.0,disorder_rich_spacer_region,55,0.026017029328287606,LCRFinder
A0A8V8TR54,unknown,2114.0,other,6,0.002838221381267739,LCRFinder
A0A994J6B2,unknown,331.0,disorder_rich_spacer_region,4,0.012084592145015106,LCRFinder
A0A994J7T5,mRNA,750.0,arginine_rich_rna_contact_region,7,0.009333333333333334,LCRFinder
A0A994J7T5,mRNA,750.0,aromatic_sticker_region,6,0.008,LCRFinder
A0A994J7T5,mRNA,750.0,disorder_rich_spacer_region,13,0.017333333333333333,LCRFinder
A0AA34QW03,mRNA,678.0,acidic_region,10,0.014749262536873156,LCRFinder
A0AA34QW03,mRNA,678.0,arginine_rich_rna_contact_region,4,0.0058997050147492625,LCRFinder
A0AA34QW03,mRNA,678.0,basic_enriched_region,8,0.011799410029498525,LCRFinder
A0AA34QW03,mRNA,678.0,disorder_rich_spacer_region,20,0.029498525073746312,LCRFinder
A0AA34QW03,mRNA,678.0,hydrophobic_region,4,0.0058997050147492625,LCRFinder
A0AA34QW03,mRNA,678.0,other,28,0.04129793510324484,LCRFinder
A0ABB0MN55,mRNA,322.0,aromatic_sticker_region,11,0.034161490683229816,LCRFinder
A0ABB0MN55,mRNA,322.0,disorder_rich_spacer_region,10,0.031055900621118012,LCRFinder
A0ABB0MN55,mRNA,322.0,gs_rich_neutral_region,37,0.11490683229813664,LCRFinder
A0ABB0MN55,mRNA,322.0,hydrophobic_region,4,0.012422360248447204,LCRFinder
A0ABB0MN55,mRNA,322.0,other,28,0.08695652173913043,LCRFinder
A0ABB0MV08,mRNA,369.0,aromatic_sticker_region,54,0.14634146341463414,LCRFinder
A0ABB0MV08,mRNA,369.0,gs_rich_neutral_region,11,0.02981029810298103,LCRFinder
A0ABB0MVJ3,unknown,604.0,disorder_rich_spacer_region,6,0.009933774834437087,LCRFinder
A0ABB0MVJ3,unknown,604.0,hydrophobic_region,8,0.013245033112582781,LCRFinder
A0ACI8P9Y7,unknown,1707.0,basic_enriched_region,12,0.007029876977152899,LCRFinder
A0ACI8P9Y7,unknown,1707.0,hydrophobic_region,9,0.005272407732864675,LCRFinder
A0ACI8P9Y7,unknown,1707.0,other,9,0.005272407732864675,LCRFinder
A0ACI8PHD2,unknown,261.0,aromatic_sticker_region,11,0.0421455938697318,LCRFinder
A0ACI8PHD2,unknown,261.0,disorder_rich_spacer_region,17,0.06513409961685823,LCRFinder
A0ACI8PHD2,unknown,261.0,other,20,0.07662835249042145,LCRFinder
A0ACI8PT71,unknown,1306.0,acidic_region,8,0.006125574272588055,LCRFinder
A0ACI8PT71,unknown,1306.0,basic_enriched_region,4,0.0030627871362940277,LCRFinder
A0ACI8PT71,unknown,1306.0,hydrophobic_region,4,0.0030627871362940277,LCRFinder
A0ACI8PUZ8,unknown,1375.0,acidic_region,16,0.011636363636363636,LCRFinder
A0ACI8PUZ8,unknown,1375.0,disorder_rich_spacer_region,30,0.02181818181818182,LCRFinder
A0ACI8PUZ8,unknown,1375.0,hydrophobic_region,4,0.002909090909090909,LCRFinder
A0ACI8PVP6,unknown,744.0,acidic_region,6,0.008064516129032258,LCRFinder
A0ACI8PVP6,unknown,744.0,disorder_rich_spacer_region,5,0.006720430107526882,LCRFinder
A0ACI8PVP6,unknown,744.0,hydrophobic_region,4,0.005376344086021506,LCRFinder
A0ACI8PX57,unknown,378.0,aromatic_sticker_region,21,0.05555555555555555,LCRFinder
A0ACI8PX57,unknown,378.0,disorder_rich_spacer_region,4,0.010582010582010581,LCRFinder
A0ACI8PX57,unknown,378.0,gs_rich_neutral_region,59,0.15608465608465608,LCRFinder
A0ACI8Q0P4,unknown,829.0,arginine_rich_rna_contact_region,12,0.014475271411338963,LCRFinder
A0ACI8Q0P4,unknown,829.0,aromatic_sticker_region,14,0.016887816646562123,LCRFinder
A0ACI8Q0P4,unknown,829.0,disorder_rich_spacer_region,6,0.007237635705669481,LCRFinder
A0ACI8Q0P4,unknown,829.0,hydrophobic_region,14,0.016887816646562123,LCRFinder
A0ACI8Q0P4,unknown,829.0,other,16,0.019300361881785282,LCRFinder
A0ACI8Q806,unknown,498.0,aromatic_sticker_region,9,0.018072289156626505,LCRFinder
A0ACI8Q806,unknown,498.0,disorder_rich_spacer_region,45,0.09036144578313253,LCRFinder
A0ACI8QHW6,unknown,749.0,acidic_region,5,0.006675567423230975,LCRFinder
A0ACI8QHW6,unknown,749.0,disorder_rich_spacer_region,12,0.01602136181575434,LCRFinder
A0ACI8QLY8,unknown,321.0,acidic_region,7,0.021806853582554516,LCRFinder
A0ACI8QLY8,unknown,321.0,arginine_rich_rna_contact_region,8,0.024922118380062305,LCRFinder
A0ACI8QLY8,unknown,321.0,disorder_rich_spacer_region,29,0.09034267912772585,LCRFinder
A0ACI8QLY8,unknown,321.0,hydrophobic_region,11,0.03426791277258567,LCRFinder
A0ACI8QNN6,unknown,701.0,arginine_rich_rna_contact_region,8,0.011412268188302425,LCRFinder
A0ACI8QNN6,unknown,701.0,basic_enriched_region,7,0.009985734664764621,LCRFinder
A0ACI8QNN6,unknown,701.0,disorder_rich_spacer_region,5,0.007132667617689016,LCRFinder
A0ACI8QTQ5,diverse,1388.0,acidic_region,6,0.004322766570605188,LCRFinder
A0ACI8QTQ5,diverse,1388.0,arginine_rich_rna_contact_region,23,0.016570605187319884,LCRFinder
A0ACI8QTQ5,diverse,1388.0,aromatic_sticker_region,10,0.007204610951008645,LCRFinder
A0ACI8QTQ5,diverse,1388.0,disorder_rich_spacer_region,15,0.010806916426512969,LCRFinder
A0ACI8QTQ5,diverse,1388.0,hydrophobic_region,9,0.006484149855907781,LCRFinder
A0ACI8QU73,unknown,864.0,acidic_region,11,0.01273148148148148,LCRFinder
A0ACI8QU73,unknown,864.0,basic_enriched_region,17,0.019675925925925927,LCRFinder
A0ACI8QU73,unknown,864.0,disorder_rich_spacer_region,9,0.010416666666666666,LCRFinder
A0ACI8QU73,unknown,864.0,hydrophobic_region,4,0.004629629629629629,LCRFinder
A0ACI8QU73,unknown,864.0,other,4,0.004629629629629629,LCRFinder
A0ACI8QUJ1,unknown,752.0,aromatic_sticker_region,6,0.007978723404255319,LCRFinder
A0ACI8QUJ1,unknown,752.0,disorder_rich_spacer_region,15,0.0199468085106383,LCRFinder
A0ACI8QUJ1,unknown,752.0,other,10,0.013297872340425532,LCRFinder
A0ACI8QY88,mRNA,715.0,disorder_rich_spacer_region,64,0.08951048951048951,LCRFinder
A0ACI8QY88,mRNA,715.0,hydrophobic_region,11,0.015384615384615385,LCRFinder
A0ACI8QY88,mRNA,715.0,other,19,0.026573426573426574,LCRFinder
A0ACI8R3H8,unknown,616.0,arginine_rich_rna_contact_region,5,0.008116883116883116,LCRFinder
A0ACI8R3H8,unknown,616.0,other,4,0.006493506493506494,LCRFinder
A0ACI8R7A3,unknown,356.0,disorder_rich_spacer_region,8,0.02247191011235955,LCRFinder
A0ACI8R7A3,unknown,356.0,hydrophobic_region,8,0.02247191011235955,LCRFinder
A0ACI8RCQ9,unknown,534.0,acidic_region,24,0.0449438202247191,LCRFinder
A0ACI8RI26,unknown,764.0,acidic_region,28,0.03664921465968586,LCRFinder
A0ACI8RI26,unknown,764.0,basic_enriched_region,12,0.015706806282722512,LCRFinder
A0ACI8RL22,unknown,1967.0,acidic_region,9,0.004575495678698526,LCRFinder
A0ACI8RL22,unknown,1967.0,disorder_rich_spacer_region,21,0.010676156583629894,LCRFinder
A0ACI8RL22,unknown,1967.0,gs_rich_neutral_region,8,0.004067107269954245,LCRFinder
A0ACI8RLL6,unknown,729.0,arginine_rich_rna_contact_region,12,0.01646090534979424,LCRFinder
A0ACI8RLL6,unknown,729.0,hydrophobic_region,8,0.010973936899862825,LCRFinder
A0ACI8RMB5,unknown,1003.0,acidic_region,14,0.013958125623130608,LCRFinder
A0ACI8RMB5,unknown,1003.0,arginine_rich_rna_contact_region,4,0.003988035892323031,LCRFinder
A0ACI8RMB5,unknown,1003.0,basic_enriched_region,15,0.014955134596211365,LCRFinder
A0ACI8RMB5,unknown,1003.0,disorder_rich_spacer_region,10,0.009970089730807577,LCRFinder
A0ACI8RMB5,unknown,1003.0,other,6,0.005982053838484547,LCRFinder
A0ACI8RQX4,unknown,1349.0,basic_enriched_region,5,0.0037064492216456633,LCRFinder
A0ACI8RQX4,unknown,1349.0,disorder_rich_spacer_region,4,0.0029651593773165306,LCRFinder
A0ACI8RR28,unknown,918.0,acidic_region,4,0.004357298474945534,LCRFinder
A0ACI8RR28,unknown,918.0,arginine_rich_rna_contact_region,6,0.006535947712418301,LCRFinder
A0ACI8RR28,unknown,918.0,other,16,0.017429193899782137,LCRFinder
A0ACI8RX58,unknown,750.0,acidic_region,81,0.108,LCRFinder
A0ACI8RX58,unknown,750.0,basic_enriched_region,26,0.034666666666666665,LCRFinder
A0ACI8RX58,unknown,750.0,disorder_rich_spacer_region,13,0.017333333333333333,LCRFinder
A0ACI8RX58,unknown,750.0,hydrophobic_region,4,0.005333333333333333,LCRFinder
A0ACI8RX58,unknown,750.0,other,48,0.064,LCRFinder
A0ACI8S0C5,unknown,927.0,arginine_rich_rna_contact_region,4,0.004314994606256742,LCRFinder
A0ACI8S0C5,unknown,927.0,basic_enriched_region,4,0.004314994606256742,LCRFinder
A0ACI8S0C5,unknown,927.0,disorder_rich_spacer_region,10,0.010787486515641856,LCRFinder
A0ACI8S0C5,unknown,927.0,hydrophobic_region,4,0.004314994606256742,LCRFinder
A0ACI8S0C5,unknown,927.0,other,6,0.006472491909385114,LCRFinder
A0ACI8S113,unknown,1253.0,acidic_region,17,0.013567438148443736,LCRFinder
A0ACI8S113,unknown,1253.0,arginine_rich_rna_contact_region,26,0.020750199521149242,LCRFinder
A0ACI8S113,unknown,1253.0,disorder_rich_spacer_region,6,0.004788507581803671,LCRFinder
A0ACI8S113,unknown,1253.0,other,8,0.006384676775738229,LCRFinder
A0ACI8S5H4,unknown,1122.0,disorder_rich_spacer_region,15,0.013368983957219251,LCRFinder
A0ACI8S5H4,unknown,1122.0,hydrophobic_region,4,0.0035650623885918,LCRFinder
A0ACI8S5T8,unknown,488.0,disorder_rich_spacer_region,16,0.03278688524590164,LCRFinder
A0ACI8S5T8,unknown,488.0,hydrophobic_region,12,0.02459016393442623,LCRFinder
A0ACI8SAU3,unknown,2066.0,acidic_region,10,0.00484027105517909,LCRFinder
A0ACI8SAU3,unknown,2066.0,basic_enriched_region,9,0.004356243949661181,LCRFinder
A0ACI8SAU3,unknown,2066.0,disorder_rich_spacer_region,4,0.001936108422071636,LCRFinder
A0ACI8SAU3,unknown,2066.0,other,4,0.001936108422071636,LCRFinder
A0ACI8SBH9,unknown,480.0,hydrophobic_region,4,0.008333333333333333,LCRFinder
A0ACI8SEY7,unknown,629.0,acidic_region,7,0.011128775834658187,LCRFinder
A0ACI8SPJ0,snRNA,2147.0,acidic_region,12,0.0055891942244993015,LCRFinder
A0ACI8SPJ0,snRNA,2147.0,arginine_rich_rna_contact_region,12,0.0055891942244993015,LCRFinder
A0ACI8SQV4,unknown,211.0,arginine_rich_rna_contact_region,4,0.018957345971563982,LCRFinder
A0ACI8SQV4,unknown,211.0,hydrophobic_region,12,0.05687203791469194,LCRFinder
A0ACI8SXP5,unknown,451.0,aromatic_sticker_region,15,0.03325942350332594,LCRFinder
A0ACI8SXP5,unknown,451.0,disorder_rich_spacer_region,31,0.06873614190687362,LCRFinder
A0ACI8SXP5,unknown,451.0,gs_rich_neutral_region,6,0.013303769401330377,LCRFinder
