proteinid,method,start,end,length,rna_class,position,signature,uniprot_accession,measurement_protein_id,frac_A,frac_C,frac_D,frac_E,frac_F,frac_G,frac_H,frac_I,frac_K,frac_L,frac_M,frac_N,frac_P,frac_Q,frac_R,frac_S,frac_T,frac_V,frac_W,frac_Y,frac_polar,frac_hydrophobic,frac_strong_hydro,frac_aromatic,frac_disorder,frac_positive,frac_negative,fcr,ncpr,frac_GS,uniprot_length,coverage_per_lcr
Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,FLPS,3,23,21,pre-rRNA,domain_adjacent,arginine_rich_rna_contact_region,Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,FLPS,27,55,29,pre-rRNA,domain_adjacent,disorder_rich_spacer_region,Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,FLPS,71,92,22,pre-rRNA,domain_edge,arginine_rich_rna_contact_region,Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,FLPS,212,233,22,pre-rRNA,distal_terminal,acidic_region,Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,4,34,31,mRNA,distal_terminal,disorder_rich_spacer_region,Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,40,48,9,mRNA,domain_adjacent,disorder_rich_spacer_region,Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,58,80,23,mRNA,domain_adjacent,disorder_rich_spacer_region,Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,172,194,23,mRNA,domain_adjacent,arginine_rich_rna_contact_region,Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,218,260,43,mRNA,distal_terminal,aromatic_sticker_region,Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,271,293,23,mRNA,distal_terminal,arginine_rich_rna_contact_region,Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
