protein_accession,method,lcr_start,lcr_end,pfam_accession,pfam_name,domain_start,domain_end,overlap_length,lcr_domain_fraction,domain_lcr_fraction,is_domain_edge
P82673,CAST,231,315,PF10213,MRP-S28,147,235,5,0.0588,0.0562,True
Q9H6S0,CAST,1161,1364,PF04146,YTH,1289,1419,76,0.3725,0.5802,True
Q9H501,CAST,84,823,PF08159,NUC153,759,787,29,0.0392,1.0,True
Q9H501,CAST,567,851,PF08159,NUC153,759,787,29,0.1018,1.0,True
Q9UJA5,CAST,75,153,PF04189,Gcd10p,20,254,79,1.0,0.3362,False
O15371,CAST,51,192,PF05091,eIF-3_zeta,4,521,142,1.0,0.2741,False
Q14694,CAST,68,355,PF07145,PAM2,79,94,16,0.0556,1.0,True
P14866,CAST,335,382,PF13893,RRM_5,357,480,26,0.5417,0.2097,True
Q9NW13,CAST,206,353,PF00076,RRM_1,337,394,17,0.1149,0.2931,True
Q7Z417,CAST,98,641,PF15293,NUFIP2,89,688,544,1.0,0.9067,True
Q7Z417,CAST,1,91,PF15293,NUFIP2,89,688,3,0.033,0.005,True
P84098,CAST,52,196,PF01280,Ribosomal_L19e,3,55,4,0.0276,0.0755,True
P84098,CAST,52,196,PF25476,Ribosomal_L19e_C,57,145,89,0.6138,1.0,True
Q9H6F5,CAST,212,359,PF03879,Cgr1,237,338,102,0.6892,1.0,True
A0A499FI31,CAST,6,104,PF05843,Suf,98,424,7,0.0707,0.0214,True
A0A499FI31,CAST,937,975,PF05391,Lsm_interact,962,980,14,0.359,0.7368,True
P19525,CAST,143,226,PF00035,dsrm,101,164,22,0.2619,0.3438,True
Q4ZG55,CAST,1073,1309,PF20692,cpSF2-GREB1,658,1377,237,1.0,0.3292,False
Q03701,CAST,624,677,PF03914,CBF,523,731,54,1.0,0.2584,False
Q99848,CAST,142,304,PF05890,Ebp2,47,298,157,0.9632,0.623,True
O95926,CAST,28,119,PF08231,SYF2,91,238,29,0.3152,0.1959,True
Q9BWT3,CAST,502,567,PF04926,PAP_RNA-bind,424,506,5,0.0758,0.0602,True
Q13247,CAST,174,343,PF00076,RRM_1,112,177,4,0.0235,0.0606,True
Q8WVK2,CAST,68,102,PF08648,SNRNP27,98,153,5,0.1429,0.0893,True
O00566,CAST,69,498,PF04006,Mpp10,25,594,430,1.0,0.7544,False
O00566,CAST,555,680,PF04006,Mpp10,25,594,40,0.3175,0.0702,True
Q96EU6,CAST,145,219,PF06102,RRP36,90,252,75,1.0,0.4601,False
Q96EU6,CAST,145,259,PF06102,RRP36,90,252,108,0.9391,0.6626,True
Q9BZI7,CAST,137,436,PF03467,Smg4_UPF3,51,208,72,0.24,0.4557,True
Q9BZI7,CAST,207,424,PF03467,Smg4_UPF3,51,208,2,0.0092,0.0127,True
Q9BZI7,CAST,207,244,PF03467,Smg4_UPF3,51,208,2,0.0526,0.0127,True
Q8IWZ8,CAST,162,269,PF01805,Surp,184,248,65,0.6019,1.0,True
Q8IWZ8,CAST,162,269,PF01805,Surp,258,322,12,0.1111,0.1846,True
P51116,CAST,396,661,PF12235,FXMRP1_C_core,364,491,96,0.3609,0.75,True
Q15415,CAST,44,494,PF00076,RRM_1,10,79,36,0.0798,0.5143,True
Q15415,CAST,44,494,PF08081,RBM1CTR,174,218,45,0.0998,1.0,True
Q7Z478,CAST,468,547,PF24385,DSRM_DHX29,431,508,41,0.5125,0.5256,True
Q7Z478,CAST,500,514,PF24385,DSRM_DHX29,431,508,9,0.6,0.1154,True
Q96DF8,CAST,132,236,PF09751,Es2,34,401,105,1.0,0.2853,False
Q14151,CAST,58,726,PF02037,SAP,30,64,7,0.0105,0.2,True
Q14151,CAST,58,726,PF13893,RRM_5,399,487,89,0.133,1.0,True
Q14151,CAST,58,726,PF00076,RRM_1,409,478,70,0.1046,1.0,True
Q14151,CAST,481,608,PF13893,RRM_5,399,487,7,0.0547,0.0787,True
Q9NQZ2,CAST,65,253,PF04000,Sas10_Utp3,231,310,23,0.1217,0.2875,True
P38935,CAST,306,335,PF04851,ResIII,196,378,30,1.0,0.1639,False
Q9P031,CAST,58,221,PF08524,rRNA_processing,125,239,97,0.5915,0.8435,True
Q9P031,CAST,100,203,PF08524,rRNA_processing,125,239,79,0.7596,0.687,True
Q8NAV1,CAST,172,206,PF03371,PRP38,11,174,3,0.0857,0.0183,True
P42766,CAST,3,122,PF00831,Ribosomal_L29,8,63,56,0.4667,1.0,True
Q9BRD0,CAST,436,541,PF09736,Bud13,460,600,82,0.7736,0.5816,True
P05455,CAST,191,403,PF08777,RRM_3,231,334,104,0.4883,1.0,True
Q96FV9,CAST,192,221,PF11957,efThoc1,71,538,30,1.0,0.0641,False
Q96FV9,CAST,531,575,PF11957,efThoc1,71,538,8,0.1778,0.0171,True
P49790,CAST,89,1464,PF00641,Zn_ribbon_RanBP,657,686,30,0.0218,1.0,True
P49790,CAST,89,1464,PF00641,Zn_ribbon_RanBP,723,751,29,0.0211,1.0,True
P49790,CAST,89,1464,PF00641,Zn_ribbon_RanBP,794,822,29,0.0211,1.0,True
P49790,CAST,89,1464,PF00641,Zn_ribbon_RanBP,851,880,30,0.0218,1.0,True
Q8IXZ2,CAST,131,924,PF00642,zf-CCCH,669,694,26,0.0327,1.0,True
Q8IXZ2,CAST,131,924,PF00642,zf-CCCH,752,774,23,0.029,1.0,True
