uniprot_accession,uniprot_length,rnaprimaryclass,method,cluster_pam_k2,cluster_hierarchical_k2,cluster_pam_k3,cluster_hierarchical_k3,cluster_pam_k4,cluster_hierarchical_k4,cluster_pam_k5,cluster_hierarchical_k5,cluster_pam_k6,cluster_hierarchical_k6,cluster_hdbscan,hdbscan_confidence
Q9Y2T7,364.0,mRNA,CAST,0,1,2,2,2,2,2,2,2,2,-1,0.0
Q13395,1621.0,mRNA,CAST,0,1,0,2,0,2,0,2,0,2,-1,0.0
P82673,323.0,ribosomal protein,CAST,1,1,1,2,1,2,1,2,1,2,-1,0.0
O60306,1485.0,mRNA,CAST,1,1,1,2,1,2,1,2,1,2,-1,0.0
Q9H6S0,1430.0,mRNA,CAST,0,1,2,2,2,2,2,2,2,2,-1,0.0
Q8N1G1,1221.0,pre-rRNA,CAST,0,1,0,2,0,2,0,2,0,2,-1,0.0
Q9BRR8,931.0,mRNA,CAST,0,1,0,2,0,2,4,2,0,2,-1,0.0
Q9BQI3,630.0,mRNA,CAST,0,1,0,2,0,2,0,2,0,2,-1,0.0
Q9NW64,420.0,mRNA,CAST,0,1,2,2,2,2,2,2,2,2,-1,0.0
Q9H501,851.0,pre-rRNA,CAST,0,1,0,2,0,2,0,2,4,2,-1,0.0
Q9UJA5,497.0,tRNA,CAST,0,1,0,2,1,2,1,2,0,2,-1,0.0
Q8N8D1,485.0,snRNA,CAST,0,1,0,2,0,2,0,2,0,2,-1,0.0
P26640,1264.0,tRNA,CAST,1,1,2,2,2,2,2,2,2,2,-1,0.0
O15371,548.0,mRNA,CAST,1,1,1,2,1,2,1,2,3,2,-1,0.0
O75132,1171.0,unknown,CAST,0,1,0,2,3,2,3,2,3,2,-1,0.0
Q86U42,306.0,mRNA,CAST,1,1,1,2,1,2,1,2,1,2,-1,0.0
Q9H307,717.0,mRNA,CAST,0,1,0,2,0,2,0,2,5,2,-1,0.0
Q4VXU2,619.0,mRNA,CAST,0,1,0,2,0,2,0,2,0,2,-1,0.0
O60828,265.0,mRNA,CAST,0,1,0,2,0,2,4,2,5,2,-1,0.0
O43719,755.0,mRNA,CAST,1,1,1,2,1,2,1,2,1,2,-1,0.0
Q14694,798.0,mRNA,CAST,1,1,1,2,3,2,3,2,1,2,-1,0.0
Q9NVM6,304.0,unknown,CAST,0,1,2,2,1,2,1,2,5,2,-1,0.0
Q9UKV8,859.0,ncRNA,CAST,1,1,1,2,3,2,3,2,3,2,-1,0.0
P14866,589.0,mRNA,CAST,0,1,0,2,3,2,3,2,3,2,-1,0.0
Q15428,464.0,snRNA,CAST,0,1,2,2,2,2,2,2,2,2,-1,0.0
A4D1E9,387.0,unknown,CAST,1,1,2,2,2,2,2,2,2,2,-1,0.0
Q9NW13,759.0,snRNA,CAST,1,1,1,2,1,2,4,2,1,2,-1,0.0
Q7Z333,2677.0,mRNA,CAST,0,1,0,2,3,2,3,2,3,2,-1,0.0
Q9H6R0,707.0,mRNA,CAST,0,1,2,2,2,2,2,2,2,2,-1,0.0
Q9Y5J1,556.0,snoRNA,CAST,1,1,1,2,1,2,1,2,1,2,-1,0.0
Q7Z417,695.0,mRNA,CAST,0,1,0,2,3,2,3,2,3,2,-1,0.0
P84098,196.0,ribosomal protein,CAST,0,1,0,2,0,2,4,2,4,2,-1,0.0
Q07021,282.0,mRNA,CAST,1,1,1,2,1,2,1,2,1,2,-1,0.0
Q9NY12,217.0,snoRNA,CAST,0,1,2,2,2,2,2,2,2,2,-1,0.0
