protein_id,protein_length,cluster_id,n_lcr,lcr_residues,mean_lcr_length,coverage,multiplicity_cat,pos__domain_intrinsic,pos__domain_edge,pos__domain_adjacent,pos__interdomain_linker,pos__distal_terminal,sig__acidic_region,sig__arginine_rich_rna_contact_region,sig__aromatic_aggregation_prone_region,sig__aromatic_sticker_region,sig__basic_enriched_region,sig__cation_pi_rich_neighborhood,sig__disorder_rich_spacer_region,sig__glutamine_rich_region,sig__glycine_rich_region,sig__gs_rich_neutral_region,sig__hydrophobic_region,sig__mixed_charge_polyampholyte,sig__polar_linker,sig__proline_rich_disordered_region,sig__rg_rgg_repeat_region,sig__serine_rich_region,sig__sr_rs_repeat_region,sig__unmapped_physicochemical_properties,ncpr,fcr,is_medoid
Q9Y2T7,364.0,0,2,45,22.5,0.12362637362637363,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.19999999999999996,0.19999999999999996,False
Q9H6S0,1430.0,0,2,45,22.5,0.03146853146853147,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.044444444444444446,0.08888888888888886,False
Q8N1G1,1221.0,1,2,36,18.0,0.029484029484029485,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.08333333333333333,0.1388888888888889,False
Q9BRR8,931.0,4,2,60,30.0,0.0644468313641246,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2666666666666666,0.6,False
Q9NW64,420.0,0,1,29,29.0,0.06904761904761905,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False
Q9H501,851.0,1,1,34,34.0,0.0399529964747356,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7058823529411765,0.7647058823529411,False
Q8N8D1,485.0,0,5,160,32.0,0.32989690721649484,3+,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2625,False
O00178,669.0,0,1,10,10.0,0.014947683109118086,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,False
O15371,548.0,1,1,18,18.0,0.032846715328467155,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9444444444444444,0.9444444444444444,False
Q86U42,306.0,0,3,95,31.666666666666668,0.3104575163398693,3+,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15789473684210525,0.2631578947368421,False
Q9H307,717.0,3,5,191,38.2,0.26638772663877264,3+,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.04188481675392674,0.34554973821989526,False
O60828,265.0,4,1,33,33.0,0.12452830188679245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.7878787878787878,False
O43719,755.0,4,2,35,17.5,0.046357615894039736,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05714285714285714,0.6857142857142857,False
P14866,589.0,2,3,64,21.333333333333332,0.10865874363327674,3+,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03125000000000001,0.09375,False
Q15428,464.0,0,1,86,86.0,0.1853448275862069,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02325581395348837,False
Q9NW13,759.0,1,1,32,32.0,0.04216073781291173,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.78125,0.84375,False
Q9H6R0,707.0,2,1,12,12.0,0.016973125884016973,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1666666666666667,0.1666666666666667,False
