protein_id,protein_length,cluster_id,n_lcr,lcr_residues,mean_lcr_length,coverage,multiplicity_cat,pos__domain_intrinsic,pos__domain_edge,pos__domain_adjacent,pos__interdomain_linker,pos__distal_terminal,sig__acidic_region,sig__arginine_rich_rna_contact_region,sig__aromatic_aggregation_prone_region,sig__aromatic_sticker_region,sig__basic_enriched_region,sig__cation_pi_rich_neighborhood,sig__disorder_rich_spacer_region,sig__glutamine_rich_region,sig__gs_rich_neutral_region,sig__hydrophobic_region,sig__mixed_charge_polyampholyte,sig__polar_linker,sig__proline_rich_disordered_region,sig__rg_rgg_repeat_region,sig__serine_rich_region,sig__sr_rs_repeat_region,sig__unmapped_physicochemical_properties,ncpr,fcr,is_medoid
Q9Y2T7,364.0,2,2,248,124.0,0.6813186813186813,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.06451612903225806,0.20967741935483872,False
Q13395,1621.0,0,1,212,212.0,0.1307834669956817,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01415094339622642,0.2311320754716981,False
P82673,323.0,1,1,85,85.0,0.2631578947368421,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1411764705882353,0.4,False
O60306,1485.0,1,2,101,50.5,0.06801346801346801,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.24752475247524752,0.2673267326732673,False
Q9H6S0,1430.0,2,3,265,88.33333333333333,0.1853146853146853,3+,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.04150943396226415,0.24528301886792453,False
Q8N1G1,1221.0,0,2,573,286.5,0.4692874692874693,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.04886561954624782,0.2862129144851658,False
Q9BRR8,931.0,4,2,213,106.5,0.22878625134264233,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-8.339703471362678e-18,0.4037558685446009,False
Q9BQI3,630.0,0,1,111,111.0,0.1761904761904762,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1441441441441441,0.3243243243243243,False
Q9NW64,420.0,2,1,81,81.0,0.19285714285714287,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03703703703703703,0.06172839506172839,False
Q9H501,851.0,0,2,938,469.0,1.1022326674500587,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.026652452025586353,0.43816631130063965,False
Q9UJA5,497.0,1,2,163,81.5,0.32796780684104626,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.03680981595092027,0.4539877300613497,False
Q8N8D1,485.0,0,2,295,147.5,0.6082474226804123,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06440677966101695,0.36271186440677966,False
P26640,1264.0,2,3,105,35.0,0.08306962025316456,3+,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.10476190476190475,0.2571428571428571,False
O15371,548.0,1,2,162,81.0,0.2956204379562044,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043209876543209874,0.4382716049382716,False
O75132,1171.0,3,1,618,618.0,0.5277540563620837,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01618122977346278,0.2297734627831715,False
