uniprot_accession	gene_id	covering_accession
A0A0A0MQR7	ENSG00000099817	P19388
C9IY40	ENSG00000112651	Q5T653
V9GYA0	ENSG00000146453	Q8NA58
A0A0A0MQZ6	ENSG00000164346	O95478
A0A087WT20	ENSG00000164934	Q9NV06
A0A499FIA3	ENSG00000170430	P16455
A0A384DVK4	ENSG00000166024	Q7Z5L2
F8W727	ENSG00000144713	P62910
Q5T9H5	ENSG00000188613	Q8WY41
J3KP02	ENSG00000197980	Q6ZMV7
E9PE20	ENSG00000143742	P49458
H9KV63	ENSG00000095627	Q9BXT4
Q5T5C7	ENSG00000031698	P49591
A0A0A0MRM9	ENSG00000166197	Q14978
A3KFL2	ENSG00000130713	Q13868
A6ND22	ENSG00000182180	Q9Y3D3
A0A7P0MRT9	ENSG00000084623	Q13347
Q5VUC9	ENSG00000152464	P78345
A0A0C4DFX0	ENSG00000165271	Q9H6R4
J3KPI1	ENSG00000138593	Q93073
A0A0A0MRZ1	ENSG00000059145	Q9H9P5
J3KPP4	ENSG00000108848	O95232
X6RAY8	ENSG00000105364	Q9BYD3
A0A0B4J1V9	ENSG00000119969	Q9NRZ9
A0A5H1ZRQ2	ENSG00000100201	Q92841
A2A2Q9	ENSG00000131043	Q9Y312
Q5TBQ0	ENSG00000149657	Q9BX40
F8WDU6	ENSG00000184575	O43592
B5MCF9	ENSG00000100029	O00541
B5MCH7	ENSG00000136261	Q9Y6E2
B5MCU0	ENSG00000179912	Q9Y2K5
G5E9G0	ENSG00000100316	P39023
A0A7N4I394	ENSG00000196504	O75400
B8ZZV5	ENSG00000185414	Q8TCC3
B8ZZK4	ENSG00000071082	P62899
B9A037	ENSG00000152147	Q8WXD5
E7EX53	ENSG00000174748	P61313
F6YDS7	ENSG00000171858	P63220
F6XX82	ENSG00000108826	Q9P0M9
C9JQX9	ENSG00000114503	P52298
H0Y450	ENSG00000146282	Q5T160
E7ENR5	ENSG00000136718	Q96G21
J3QT46	ENSG00000112339	Q9Y450
C9JGP4	ENSG00000144535	Q8IYB7
Q5T8Z2	ENSG00000168283	P35226
C9J2Y9	ENSG00000047315	P30876
H7BZW6	ENSG00000150459	O00422
B1APK8	ENSG00000181450	Q5SXM1
X6RDS5	ENSG00000148187	Q96E11
C9JCE0	ENSG00000072364	Q9UHB7
A2IDC7	ENSG00000086504	Q13084
H0Y503	ENSG00000082153	Q7L1Q6
H7C0T8	ENSG00000178149	Q5D0E6
Q5VVQ1	ENSG00000116918	Q99598
A0A7P0N5L0	ENSG00000104679	Q9Y3T6
E7ETU7	ENSG00000114686	P09001
Q5VVC8	ENSG00000142676	P62913
F5H702	ENSG00000175581	Q96GC5
H7C1D4	ENSG00000211460	Q15631
A0A087WXN2	ENSG00000120662	O75570
C9JZ88	ENSG00000147604	P18124
E9PE17	ENSG00000239789	Q9Y2R5
D4PHA4	ENSG00000062194	Q86WP2
B1AHC9	ENSG00000196419	P12956
H0Y6A1	ENSG00000147206	Q9H4D5
H7C2G5	ENSG00000196141	Q9NUQ6
J3KQ82	ENSG00000169800	Q15415
A0A0A0MSN9	ENSG00000206268	P18615
A0A7I2XXS4	ENSG00000108825	Q9BTE6
E7ESC6	ENSG00000130227	Q9UIA9
F6VEC6	ENSG00000170445	P12081
X6RJ73	ENSG00000143314	Q96A35
C9J847	ENSG00000144218	P51826
Q5VZU3	ENSG00000120158	Q9Y2P8
C9J1C5	ENSG00000185088	Q71UM5
C9JVJ0	ENSG00000235631	Q8N7C7
E9PHM2	ENSG00000011376	Q15031
X6RJY0	ENSG00000156697	Q9BVJ6
F8VVL1	ENSG00000139726	O43583
E7ETK0	ENSG00000138326	P62847
A0A0C4DG89	ENSG00000145833	Q7L014
B0QY89	ENSG00000100129	Q9Y262
C9J4W5	ENSG00000163577	Q9GZV4
F8WAS2	ENSG00000055957	P19827
C9J7E5	ENSG00000064419	Q9Y5L0
C9J0B9	ENSG00000169251	Q96D46
C9JYQ9	ENSG00000163584	Q6P5R6
H7C5L9	ENSG00000175110	P82650
H0Y8P4	ENSG00000164338	Q8TED0
H0Y8X3	ENSG00000175766	A6NMX2
D6R9X9	ENSG00000145592	P61927
H0Y9C1	ENSG00000138767	Q96LI5
D6RCB9	ENSG00000145912	Q9NX24
D6RJF2	ENSG00000172239	Q9H074
D6RG13	ENSG00000145425	P61247
D6REA0	ENSG00000059691	O75879
D6RJB1	ENSG00000086200	Q9UI26
D6RIC3	ENSG00000048162	Q9Y3C1
G3XAN0	ENSG00000008988	P60866
G5EA06	ENSG00000113048	Q92552
E5RHF4	ENSG00000137547	Q9P015
H0YB34	ENSG00000132541	P52758
E5RJP0	ENSG00000169398	Q05397
E7ESL0	ENSG00000082515	Q9NWU5
E7EPX0	ENSG00000040341	Q9NUL3
E5RGH2	ENSG00000198791	Q9UIV1
E5RK86	ENSG00000147586	Q9Y2Q9
E5RJI7	ENSG00000172172	Q9BYD1
E9PJD9	ENSG00000166441	P46776
E9PJG9	ENSG00000184571	Q7Z3Z3
E9PIF2	ENSG00000178105	Q13206
E9PRK2	ENSG00000137513	Q96I59
H0YD25	ENSG00000092850	Q9UIF3
E9PN81	ENSG00000172922	Q8TDP1
E9PMM9	ENSG00000140988	P15880
E9PKU4	ENSG00000161016	P62917
E9PQK6	ENSG00000166181	Q9BZZ5
E9PI14	ENSG00000166902	Q9NX20
F5H1K3	ENSG00000149743	Q86TN4
H0YG84	ENSG00000253729	P78527
H0YGD3	ENSG00000131018	Q8NF91
H0YGG4	ENSG00000111361	Q14232
H0YGJ7	ENSG00000104131	O75822
H0YGT4	ENSG00000166037	Q86XR8
H0YGW8	ENSG00000169718	Q6P1R4
F8VQP2	ENSG00000204842	Q99700
H0YH84	ENSG00000111596	Q9NZN8
F8VU11	ENSG00000110844	Q6NWY9
H0YI55	ENSG00000161642	Q96PM9
F8VS19	ENSG00000223547	Q08AG5
G3V2M5	ENSG00000119616	Q9Y324
A0A0A0MTQ0	ENSG00000100890	O15091
G3V3F2	ENSG00000165804	Q9P2Y4
G3V414	ENSG00000013523	Q9UNK9
A0A0C4DGK8	ENSG00000100823	P27695
G3V529	ENSG00000089737	Q9GZR7
G3V5U1	ENSG00000140105	P23381
H0YKX1	ENSG00000137815	Q92541
H0YM60	ENSG00000182117	Q9NPE3
H0YMF4	ENSG00000108107	P46779
H0YMJ6	ENSG00000181026	Q8WTP8
H0YN88	ENSG00000182774	P08708
H3BM89	ENSG00000174444	P36578
H3BMQ2	ENSG00000137876	Q9UHA3
H3BNJ4	ENSG00000103994	Q9H2Y7
H3BQK0	ENSG00000157349	Q9UMR2
H3BSB3	ENSG00000135698	Q99547
H3BTT8	ENSG00000103005	Q9BQ65
H3BUK8	ENSG00000167526	P26373
I3L1N3	ENSG00000102893	Q93100
I3L397	ENSG00000132507	P63241
I3L3C4	ENSG00000171490	O76021
A0A140TA76	ENSG00000262860	Q8ND56
J3KRL2	ENSG00000065427	Q15046
D3DTZ5	ENSG00000213246	P63272
J3KSP2	ENSG00000172809	P63173
J3QKW2	ENSG00000125445	Q9Y2R9
J3QLD1	ENSG00000125457	A9UHW6
J3QQT2	ENSG00000265681	P18621
J3QQT9	ENSG00000125691	P62829
J3QQZ8	ENSG00000101751	Q9UNA4
J3QR28	ENSG00000130935	Q9H8H0
K7EIJ1	ENSG00000141642	Q9H777
K7EJ78	ENSG00000115268	P62841
K7EJB9	ENSG00000179218	P27797
K7EK40	ENSG00000126653	Q9H0G5
K7EKH9	ENSG00000131095	P14136
K7EL49	ENSG00000186020	Q6P280
K7ELC4	ENSG00000116251	P35268
K7EPB9	ENSG00000167460	P67936
K7EPH2	ENSG00000179115	Q9Y285
K7EQP2	ENSG00000173812	P41567
K7ER00	ENSG00000179115	Q9Y285
M0QXD5	ENSG00000104872	Q9NWS0
M0QYX4	ENSG00000142459	Q96CN4
M0QZ34	ENSG00000105373	Q9NZM5
M0QZ76	ENSG00000197756	P61513
M0R050	ENSG00000077348	Q9NQT4
M0R117	ENSG00000105640	Q02543
M0R226	ENSG00000130312	Q9BQ48
M0R2S1	ENSG00000221983	P62987
R4GMQ7	ENSG00000171311	Q9Y3B2
R4GMW4	ENSG00000213523	Q9HD15
R4GNH1	ENSG00000136935	Q92805
A0A087WVF4	ENSG00000153922	O14646
A0A024RCN4	ENSG00000197062	Q16670
A0A087WYR5	ENSG00000275111	Q9BSG1
A0A087X0J2	ENSG00000104691	O00124
S4R469	ENSG00000277564	O43251
A0A0D9SFM0	ENSG00000146414	Q149N8
A0A286YFD1	ENSG00000249715	A0AVI2
Q9HBD4	ENSG00000127616	P51532
A0A2R8Y6W8	ENSG00000163161	P19447
A0A494C0I1	ENSG00000196275	Q86UP8
A0A494C1N8	ENSG00000174428	Q6EKJ0
A0A8I5KY89	ENSG00000272333	Q9UMN6
A0A8I5KWK6	ENSG00000169955	Q9BV97
A0A8I5KSH6	ENSG00000178105	Q13206
A0A8V8TR54	ENSG00000170004	Q12873
A0A994J6B2	ENSG00000006194	O14978
A0ABB0MVJ3	ENSG00000175787	Q14929
