protein_id,protein_length,cluster_id,n_lcr,lcr_residues,mean_lcr_length,coverage,multiplicity_cat,pos__domain_intrinsic,pos__domain_edge,pos__domain_adjacent,pos__interdomain_linker,pos__distal_terminal,sig__acidic_region,sig__arginine_rich_rna_contact_region,sig__aromatic_aggregation_prone_region,sig__aromatic_sticker_region,sig__basic_enriched_region,sig__cation_pi_rich_neighborhood,sig__disorder_rich_spacer_region,sig__glutamine_rich_region,sig__glycine_rich_region,sig__gs_rich_neutral_region,sig__hydrophobic_region,sig__mixed_charge_polyampholyte,sig__polar_linker,sig__proline_rich_disordered_region,sig__rg_rgg_repeat_region,sig__serine_rich_region,sig__sr_rs_repeat_region,sig__unmapped_physicochemical_properties,ncpr,fcr,is_medoid
Q9Y2T7,364.0,4,7,58,8.285714285714286,0.15934065934065933,3+,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.25862068965517243,0.25862068965517243,False
Q13395,1621.0,4,10,51,5.1,0.03146206045650833,3+,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.019607843137254905,0.019607843137254905,False
Q9H6S0,1430.0,0,6,32,5.333333333333333,0.022377622377622378,3+,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,False
Q8N1G1,1221.0,1,11,69,6.2727272727272725,0.056511056511056514,3+,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.04347826086956523,0.2463768115942029,False
Q9BRR8,931.0,1,4,32,8.0,0.034371643394199784,3+,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.21875,0.40625,False
Q9UNQ2,313.0,0,1,4,4.0,0.012779552715654952,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False
Q9BQI3,630.0,4,3,18,6.0,0.02857142857142857,3+,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.2222222222222222,0.2222222222222222,False
Q9NW64,420.0,0,5,23,4.6,0.05476190476190476,3+,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False
Q9H501,851.0,1,16,103,6.4375,0.12103407755581669,3+,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.23300970873786409,0.8543689320388349,False
Q9UJA5,497.0,4,3,23,7.666666666666667,0.04627766599597585,3+,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2608695652173913,0.2608695652173913,False
Q8N8D1,485.0,4,13,90,6.923076923076923,0.18556701030927836,3+,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.044444444444444446,0.3111111111111111,False
P26640,1264.0,1,7,49,7.0,0.038765822784810125,3+,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.04081632653061224,0.32653061224489793,False
P62318,126.0,3,1,6,6.0,0.047619047619047616,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,False
O00178,669.0,0,4,25,6.25,0.03736920777279522,3+,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0.08,0.08,False
O15371,548.0,2,1,15,15.0,0.02737226277372263,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1.0,False
O75132,1171.0,0,2,10,5.0,0.008539709649871904,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False
Q86U42,306.0,1,5,47,9.4,0.15359477124183007,3+,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2127659574468085,0.2978723404255319,False
Q9H307,717.0,1,13,127,9.76923076923077,0.17712691771269176,3+,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,-0.03937007874015748,0.3858267716535433,False
Q9NR97,1041.0,4,3,14,4.666666666666667,0.013448607108549471,3+,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.14285714285714285,0.14285714285714285,False
O60828,265.0,3,4,20,5.0,0.07547169811320754,3+,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0.9,False
